Network,Architecture,Tiles,PEs,Cols,Rows,Latency,Energy_per_MAC,EDP,Relative_Latency,Relative_Energy_per_MAC,Combined_Score
alexnet,"T1, P1, C100, R12",1,1,100,12,0.0191102976,0.3723303321318142,0.0071153434525458,0.5,0.36448092393946235,0.110022677403794
alexnet,"T1, P16, C8, R8",1,16,8,8,0.0382205952,0.5341802403222414,0.0204166867291951,1.0,0.5229187383904207,0.3781388569558216
alexnet,"T1, P4, C8, R32",1,4,8,32,0.0573308928,0.4370090581624358,0.0250541194661395,1.5,0.4277961034680603,0.4197072737719135
alexnet,"T1, P1, C9, R113",1,1,9,113,0.047775744,0.5066421808870195,0.0242052071336599,1.25,0.49596123189617103,0.4365978654516866
alexnet,"T1, P8, C8, R16",1,8,8,16,0.0573308928,0.4629932805198761,0.0265438181326053,1.5,0.4532325306279496,0.45769152374863553
alexnet,"T1, P32, C8, R4",1,32,8,4,0.0382205952,0.6948166914582302,0.0265563075024283,1.0,0.6801686776934419,0.5609510208062349
alexnet,"T1, P32, C4, R8",1,32,4,8,0.0382205952,0.7365876820151265,0.0281528196236064,1.0,0.7210590589440733,0.6122887164780183
alexnet,"T1, P16, C4, R16",1,16,4,16,0.0573308928,0.6396736262493752,0.0366730600934901,1.5,0.6261881297184729,0.7432732534793141
alexnet,"T1, P8, C4, R32",1,8,4,32,0.0573308928,0.640787891502868,0.0367369419152889,1.5,0.6272789042110622,0.7452161914618789
alexnet,"T1, P64, C4, R4",1,64,4,4,0.0382205952,1.021535854627211,0.0390437083819926,1.0,1.0,1.0
gpt2_medium,"T1, P1, C100, R12",1,1,100,12,0.0247988224,0.4439056214833981,0.0110083366695284,0.923828125,0.4294094656180856,0.2599552543367776
gpt2_medium,"T1, P4, C8, R32",1,4,8,32,0.0268435456,0.4924189565117604,0.0132182707134278,1.0,0.4763385520312417,0.3287559322775092
gpt2_medium,"T1, P8, C8, R16",1,8,8,16,0.0268435456,0.5177283419926524,0.0138976643566921,1.0,0.500821435708529,0.3544250124788046
gpt2_medium,"T1, P1, C9, R113",1,1,9,113,0.029884416,0.5036348112082777,0.0150508322102296,1.11328125,0.48718814243648895,0.3785732810189033
gpt2_medium,"T1, P16, C8, R8",1,16,8,8,0.0268435456,0.5933141281066252,0.0159266548529544,1.0,0.5739388968370042,0.4348089630536972
gpt2_medium,"T1, P8, C4, R32",1,8,4,32,0.0268435456,0.62996667367398,0.0169105391312478,1.0,0.609394519032158,0.475716062651667
gpt2_medium,"T1, P16, C4, R16",1,16,4,16,0.0268435456,0.6479994296295992,0.0173946022380361,1.0,0.6268383983699497,0.49628755903870686
gpt2_medium,"T1, P32, C8, R4",1,32,8,4,0.0268435456,0.7590408496655064,0.0203753476602587,1.0,0.7342536563244507,0.6291716954032334
gpt2_medium,"T1, P32, C4, R8",1,32,4,8,0.0268435456,0.7599896850994216,0.0204008177674959,1.0,0.735171506644245,0.6303518036737447
gpt2_medium,"T1, P64, C4, R4",1,64,4,4,0.0268435456,1.0337583519367628,0.0277497394595953,1.0,1.0,1.0
mobilenet_v3,"T1, P32, C8, R4",1,32,8,4,0.0012845056,0.01860027640932,2.38921592093195e-05,1.0,0.8516822446324729,0.7859888589327504
mobilenet_v3,"T1, P64, C4, R4",1,64,4,4,0.0012845056,0.0218394554149084,2.8052902781400243e-05,1.0,1.0,1.0
mobilenet_v3,"T1, P16, C8, R8",1,16,8,8,0.0025690112,0.0186514732711938,4.791584373019752e-05,2.0,0.8540264817437541,1.5784724343174172
mobilenet_v3,"T1, P32, C4, R8",1,32,4,8,0.0022478848,0.0217341794395274,4.88559316025863e-05,1.7500000000000002,0.9951795512579891,1.7373615834271594
mobilenet_v3,"T1, P16, C4, R16",1,16,4,16,0.0041746432,0.021381384713184,8.925965229947764e-05,3.2499999999999996,0.9790255437682891,3.1482875770770247
mobilenet_v3,"T1, P8, C8, R16",1,8,8,16,0.0051380224,0.0187694411257611,9.643780893964186e-05,4.0,0.8594280749761005,3.1869430029000196
mobilenet_v3,"T1, P4, C8, R32",1,4,8,32,0.0102760448,0.0189739968976065,0.0001949776421548,8.0,0.8687944152972864,6.478366562162611
mobilenet_v3,"T1, P1, C9, R113",1,1,9,113,0.0205520896,0.0140518786600719,0.0002887954692701,16.0,0.6434170812922185,8.257695456371952
mobilenet_v3,"T1, P8, C4, R32",1,8,4,32,0.0102760448,0.0227755652487755,0.0002340427288417,8.0,1.042863240684476,8.519831904691356
mobilenet_v3,"T1, P1, C100, R12",1,1,100,12,0.0205520896,0.0355518604025696,0.0007306650204403,16.0,1.6278730273787239,33.23156341408517
resnet18,"T1, P1, C100, R12",1,1,100,12,0.0115605504,0.1986332835780543,0.0022963100859215,0.6923076923076923,0.41602709032679663,0.185772563580265
resnet18,"T1, P1, C9, R113",1,1,9,113,0.0205520896,0.2450851624360555,0.0050370122180163,1.2307692307692308,0.5133181366881839,0.45264376661628697
resnet18,"T1, P16, C4, R16",1,16,4,16,0.0166985728,0.3040682579073486,0.005077505940835,1.0,0.6368551650520489,0.5082308377974846
resnet18,"T1, P4, C8, R32",1,4,8,32,0.0205520896,0.2720991949847538,0.0055922070354145,1.2307692307692308,0.5698976240569867,0.5295072366811435
resnet18,"T1, P8, C8, R16",1,8,8,16,0.0205520896,0.2866346004145955,0.0058909399901809,1.2307692307692308,0.600341275386554,0.5724979496509327
resnet18,"T1, P32, C4, R8",1,32,4,8,0.0166985728,0.3536857002748394,0.0059060464143583,1.0,0.7407763196831822,0.6375740556012253
resnet18,"T1, P8, C4, R32",1,8,4,32,0.0205520896,0.319980870115856,0.006576275512907,1.2307692307692308,0.6701833044119493,0.6752538003689866
resnet18,"T1, P16, C8, R8",1,16,8,8,0.0205520896,0.3341302581358347,0.0068670750032788,1.2307692307692308,0.6998184623362426,0.7205344066287083
resnet18,"T1, P64, C4, R4",1,64,4,4,0.0166985728,0.4774527625641502,0.0079727797142385,1.0,1.0,1.0
resnet18,"T1, P32, C8, R4",1,32,8,4,0.0205520896,0.4405408895398004,0.0090540358342856,1.2307692307692308,0.9226900001036431,1.0908382328116348
vgg16,"T1, P1, C100, R12",1,1,100,12,0.0847773696,1.5724370351132828,0.1333070756985269,0.6346153846153847,0.4133245931451024,0.16863490279425292
vgg16,"T1, P1, C9, R113",1,1,9,113,0.1233125376,1.9289428731196816,0.2378628405698228,0.9230769230769231,0.5070343107092354,0.3332682315073798
vgg16,"T1, P16, C4, R16",1,16,4,16,0.1335885824,2.398171050151505,0.3203682709424588,1.0,0.6303737774306639,0.5004920787485
vgg16,"T1, P4, C8, R32",1,4,8,32,0.1644167168,2.1737627279010807,0.3574029308237074,1.2307692307692308,0.5713866915116088,0.531583890747931
vgg16,"T1, P8, C8, R16",1,8,8,16,0.1644167168,2.2900459713398145,0.3765218399287592,1.2307692307692308,0.6019524459492387,0.5748041639844695
vgg16,"T1, P32, C4, R8",1,32,4,8,0.1335885824,2.8015029577679806,0.3742488087176316,1.0,0.7363920108450199,0.631922184678809
vgg16,"T1, P8, C4, R32",1,8,4,32,0.1644167168,2.556513076057493,0.4203334864216416,1.2307692307692308,0.6719949374351082,0.6779936591844048
vgg16,"T1, P16, C8, R8",1,16,8,8,0.1644167168,2.670011233109727,0.4389944807670208,1.2307692307692308,0.7018286150570258,0.7236411204270731
vgg16,"T1, P64, C4, R4",1,64,4,4,0.1335885824,3.8043635950819423,0.5082195396011644,1.0,1.0,1.0
vgg16,"T1, P32, C8, R4",1,32,8,4,0.1644167168,3.5279525380702537,0.5800543733357382,1.2307692307692308,0.9273436804597183,1.0991012592907146
vision_transformer,"T1, P1, C100, R12",1,1,100,12,0.0103284736,0.1915166510063844,0.0019780746738798,0.888888888888889,0.42890747414246166,0.24968525666946723
vision_transformer,"T1, P4, C8, R32",1,4,8,32,0.0116195328,0.2131491235096072,0.0024766932319111,1.0,0.47735406660352264,0.32980781327883546
vision_transformer,"T1, P8, C8, R16",1,8,8,16,0.0116195328,0.2241045777228937,0.0026039904914813,1.0,0.5018891457729441,0.3555590237632202
vision_transformer,"T1, P1, C9, R113",1,1,9,113,0.0121440256,0.2180484794947589,0.0026479863170254,1.0451388888888888,0.4883263261406117,0.35664752543457534
vision_transformer,"T1, P16, C8, R8",1,16,8,8,0.0116195328,0.2568227414875602,0.0029841602685006,1.0,0.5751624873082172,0.4362001692420512
vision_transformer,"T1, P8, C4, R32",1,8,4,32,0.0116195328,0.2717362627642612,0.0031574484181387,1.0,0.608561780308315,0.4747412955432806
vision_transformer,"T1, P16, C4, R16",1,16,4,16,0.0116195328,0.2795419454569647,0.003248146804213,1.0,0.6260428485605651,0.4953430663849501
vision_transformer,"T1, P32, C4, R8",1,32,4,8,0.0116195328,0.3280181961766899,0.0038114181894718,1.0,0.7346069141017953,0.6296258024891633
vision_transformer,"T1, P32, C8, R4",1,32,8,4,0.0116195328,0.3285594302873396,0.003817707076973,1.0,0.7358190246629327,0.6311847807592361
vision_transformer,"T1, P64, C4, R4",1,64,4,4,0.0116195328,0.4465220649029122,0.0051883777790631,1.0,1.0,1.0
